T,v(t),a(t)
 80.10,97.96875, 0.00316
 80.20,97.96906, 0.00313
 80.30,97.96938, 0.00309
 80.40,97.96968, 0.00306
 80.50,97.96999, 0.00303
 80.60,97.97028, 0.00300
 80.70,97.97058, 0.00297
 80.80,97.97088, 0.00294
 80.90,97.97117, 0.00291
 81.00,97.97146, 0.00288
 81.10,97.97174, 0.00285
 81.20,97.97202, 0.00283
 81.30,97.97231, 0.00280
 81.40,97.97258, 0.00277
 81.50,97.97285, 0.00274
 81.60,97.97313, 0.00271
 81.70,97.97340, 0.00269
 81.80,97.97366, 0.00266
 81.90,97.97393, 0.00263
 82.00,97.97419, 0.00261
 82.10,97.97445, 0.00258
 82.20,97.97470, 0.00256
 82.30,97.97495, 0.00253
 82.40,97.97520, 0.00250
 82.50,97.97546, 0.00248
 82.60,97.97570, 0.00245
 82.70,97.97594, 0.00243
 82.80,97.97619, 0.00241
 82.90,97.97643, 0.00238
 83.00,97.97666, 0.00236
 83.10,97.97690, 0.00233
 83.20,97.97713, 0.00231
 83.30,97.97736, 0.00229
 83.40,97.97758, 0.00226
 83.50,97.97781, 0.00224
 83.60,97.97803, 0.00222
 83.70,97.97825, 0.00220
 83.80,97.97847, 0.00218
 83.90,97.97868, 0.00215
 84.00,97.97890, 0.00213
 84.10,97.97911, 0.00211
 84.20,97.97932, 0.00209
 84.30,97.97952, 0.00207
 84.40,97.97973, 0.00205
 84.50,97.97993, 0.00203
 84.60,97.98013, 0.00201
 84.70,97.98033, 0.00199
 84.80,97.98053, 0.00197
 84.90,97.98073, 0.00195
 85.00,97.98092, 0.00193
 85.10,97.98111, 0.00191
 85.20,97.98130, 0.00189
 85.30,97.98149, 0.00187
 85.40,97.98167, 0.00185
 85.50,97.98186, 0.00183
 85.60,97.98204, 0.00181
 85.70,97.98222, 0.00180
 85.80,97.98240, 0.00178
 85.90,97.98257, 0.00176
 86.00,97.98275, 0.00174
 86.10,97.98293, 0.00173
 86.20,97.98309, 0.00171
 86.30,97.98326, 0.00169
 86.40,97.98343, 0.00167
 86.50,97.98360, 0.00166
 86.60,97.98376, 0.00164
 86.70,97.98392, 0.00162
 86.80,97.98409, 0.00161
 86.90,97.98425, 0.00159
 87.00,97.98441, 0.00158
